case,method,budget,seed,population,mutation_sigma,crossover,differential_weight,crossover_rate
random_seed1,random,200,1,,,,,
random_seed2,random,200,2,,,,,
random_seed3,random,200,3,,,,,
random_seed4,random,200,4,,,,,
random_seed5,random,200,5,,,,,
random_seed6,random,200,6,,,,,
random_seed7,random,200,7,,,,,
random_seed8,random,200,8,,,,,
random_seed9,random,200,9,,,,,
random_seed10,random,200,10,,,,,
ga_arith_seed1,ga,200,1,20,0.7,arithmetic,,
ga_arith_seed2,ga,200,2,20,0.7,arithmetic,,
ga_arith_seed3,ga,200,3,20,0.7,arithmetic,,
ga_arith_seed4,ga,200,4,20,0.7,arithmetic,,
ga_arith_seed5,ga,200,5,20,0.7,arithmetic,,
ga_arith_seed6,ga,200,6,20,0.7,arithmetic,,
ga_arith_seed7,ga,200,7,20,0.7,arithmetic,,
ga_arith_seed8,ga,200,8,20,0.7,arithmetic,,
ga_arith_seed9,ga,200,9,20,0.7,arithmetic,,
ga_blx_arith_seed10,ga,200,10,20,0.7,arithmetic,,
ga_blx_seed1,ga,200,1,20,0.7,blx,,
ga_blx_seed2,ga,200,2,20,0.7,blx,,
ga_blx_seed3,ga,200,3,20,0.7,blx,,
ga_blx_seed4,ga,200,4,20,0.7,blx,,
ga_blx_seed5,ga,200,5,20,0.7,blx,,
ga_blx_seed6,ga,200,6,20,0.7,blx,,
ga_blx_seed7,ga,200,7,20,0.7,blx,,
ga_blx_seed8,ga,200,8,20,0.7,blx,,
ga_blx_seed9,ga,200,9,20,0.7,blx,,
ga_blx_seed10,ga,200,10,20,0.7,blx,,
de_seed1,de,200,1,20,,,0.7,0.9
de_seed2,de,200,2,20,,,0.7,0.9
de_seed3,de,200,3,20,,,0.7,0.9
de_seed4,de,200,4,20,,,0.7,0.9
de_seed5,de,200,5,20,,,0.7,0.9
de_seed6,de,200,6,20,,,0.7,0.9
de_seed7,de,200,7,20,,,0.7,0.9
de_seed8,de,200,8,20,,,0.7,0.9
de_seed9,de,200,9,20,,,0.7,0.9
de_seed10,de,200,10,20,,,0.7,0.9
