case,method,budget,seed,population,mutation_sigma,crossover,differential_weight,crossover_rate
b10_random_s101,random,200,101,,,,,
b10_ga_blx_s101,ga,200,101,20,0.40061667761833597,blx,,
b10_de_s101,de,200,101,10,,,0.71622695245931245,0.51761123668153619
b10_random_s102,random,200,102,,,,,
b10_ga_blx_s102,ga,200,102,20,0.40061667761833597,blx,,
b10_de_s102,de,200,102,10,,,0.71622695245931245,0.51761123668153619
b10_random_s103,random,200,103,,,,,
b10_ga_blx_s103,ga,200,103,20,0.40061667761833597,blx,,
b10_de_s103,de,200,103,10,,,0.71622695245931245,0.51761123668153619
b10_random_s104,random,200,104,,,,,
b10_ga_blx_s104,ga,200,104,20,0.40061667761833597,blx,,
b10_de_s104,de,200,104,10,,,0.71622695245931245,0.51761123668153619
b10_random_s105,random,200,105,,,,,
b10_ga_blx_s105,ga,200,105,20,0.40061667761833597,blx,,
b10_de_s105,de,200,105,10,,,0.71622695245931245,0.51761123668153619
b10_random_s106,random,200,106,,,,,
b10_ga_blx_s106,ga,200,106,20,0.40061667761833597,blx,,
b10_de_s106,de,200,106,10,,,0.71622695245931245,0.51761123668153619
b10_random_s107,random,200,107,,,,,
b10_ga_blx_s107,ga,200,107,20,0.40061667761833597,blx,,
b10_de_s107,de,200,107,10,,,0.71622695245931245,0.51761123668153619
b10_random_s108,random,200,108,,,,,
b10_ga_blx_s108,ga,200,108,20,0.40061667761833597,blx,,
b10_de_s108,de,200,108,10,,,0.71622695245931245,0.51761123668153619
b10_random_s109,random,200,109,,,,,
b10_ga_blx_s109,ga,200,109,20,0.40061667761833597,blx,,
b10_de_s109,de,200,109,10,,,0.71622695245931245,0.51761123668153619
b10_random_s110,random,200,110,,,,,
b10_ga_blx_s110,ga,200,110,20,0.40061667761833597,blx,,
b10_de_s110,de,200,110,10,,,0.71622695245931245,0.51761123668153619
