case,method,budget,seed,population,mutation_sigma,crossover,differential_weight,crossover_rate
b4_random_s101,random,200,101,,,,,
b4_ga_blx_s101,ga,200,101,10,0.78326959347474201,blx,,
b4_ga_arithmetic_s101,ga,200,101,10,0.62626948872302335,arithmetic,,
b4_de_s101,de,200,101,10,,,0.87075235896274439,0.79816422180591584
b4_random_s102,random,200,102,,,,,
b4_ga_blx_s102,ga,200,102,10,0.78326959347474201,blx,,
b4_ga_arithmetic_s102,ga,200,102,10,0.62626948872302335,arithmetic,,
b4_de_s102,de,200,102,10,,,0.87075235896274439,0.79816422180591584
b4_random_s103,random,200,103,,,,,
b4_ga_blx_s103,ga,200,103,10,0.78326959347474201,blx,,
b4_ga_arithmetic_s103,ga,200,103,10,0.62626948872302335,arithmetic,,
b4_de_s103,de,200,103,10,,,0.87075235896274439,0.79816422180591584
b4_random_s104,random,200,104,,,,,
b4_ga_blx_s104,ga,200,104,10,0.78326959347474201,blx,,
b4_ga_arithmetic_s104,ga,200,104,10,0.62626948872302335,arithmetic,,
b4_de_s104,de,200,104,10,,,0.87075235896274439,0.79816422180591584
b4_random_s105,random,200,105,,,,,
b4_ga_blx_s105,ga,200,105,10,0.78326959347474201,blx,,
b4_ga_arithmetic_s105,ga,200,105,10,0.62626948872302335,arithmetic,,
b4_de_s105,de,200,105,10,,,0.87075235896274439,0.79816422180591584
b4_random_s106,random,200,106,,,,,
b4_ga_blx_s106,ga,200,106,10,0.78326959347474201,blx,,
b4_ga_arithmetic_s106,ga,200,106,10,0.62626948872302335,arithmetic,,
b4_de_s106,de,200,106,10,,,0.87075235896274439,0.79816422180591584
b4_random_s107,random,200,107,,,,,
b4_ga_blx_s107,ga,200,107,10,0.78326959347474201,blx,,
b4_ga_arithmetic_s107,ga,200,107,10,0.62626948872302335,arithmetic,,
b4_de_s107,de,200,107,10,,,0.87075235896274439,0.79816422180591584
b4_random_s108,random,200,108,,,,,
b4_ga_blx_s108,ga,200,108,10,0.78326959347474201,blx,,
b4_ga_arithmetic_s108,ga,200,108,10,0.62626948872302335,arithmetic,,
b4_de_s108,de,200,108,10,,,0.87075235896274439,0.79816422180591584
b4_random_s109,random,200,109,,,,,
b4_ga_blx_s109,ga,200,109,10,0.78326959347474201,blx,,
b4_ga_arithmetic_s109,ga,200,109,10,0.62626948872302335,arithmetic,,
b4_de_s109,de,200,109,10,,,0.87075235896274439,0.79816422180591584
b4_random_s110,random,200,110,,,,,
b4_ga_blx_s110,ga,200,110,10,0.78326959347474201,blx,,
b4_ga_arithmetic_s110,ga,200,110,10,0.62626948872302335,arithmetic,,
b4_de_s110,de,200,110,10,,,0.87075235896274439,0.79816422180591584
