case,method,budget,seed,population,mutation_sigma,crossover,differential_weight,crossover_rate
random_b100_s316018,random,100,316018,,,,,
ga_b100_s316018,ga,100,316018,20,0.5,arithmetic,,
de_b100_s316018,de,100,316018,20,,,0.7,0.9
random_b100_s348556,random,100,348556,,,,,
ga_b100_s348556,ga,100,348556,20,0.5,arithmetic,,
de_b100_s348556,de,100,348556,20,,,0.7,0.9
random_b100_s1001,random,100,1001,,,,,
ga_b100_s1001,ga,100,1001,20,0.5,arithmetic,,
de_b100_s1001,de,100,1001,20,,,0.7,0.9
random_b300_s316018,random,300,316018,,,,,
ga_b300_s316018,ga,300,316018,20,0.5,arithmetic,,
de_b300_s316018,de,300,316018,20,,,0.7,0.9
random_b300_s348556,random,300,348556,,,,,
ga_b300_s348556,ga,300,348556,20,0.5,arithmetic,,
de_b300_s348556,de,300,348556,20,,,0.7,0.9
random_b300_s1001,random,300,1001,,,,,
ga_b300_s1001,ga,300,1001,20,0.5,arithmetic,,
de_b300_s1001,de,300,1001,20,,,0.7,0.9
random_b1000_s316018,random,1000,316018,,,,,
ga_b1000_s316018,ga,1000,316018,20,0.5,arithmetic,,
de_b1000_s316018,de,1000,316018,20,,,0.7,0.9
random_b1000_s348556,random,1000,348556,,,,,
ga_b1000_s348556,ga,1000,348556,20,0.5,arithmetic,,
de_b1000_s348556,de,1000,348556,20,,,0.7,0.9
random_b1000_s1001,random,1000,1001,,,,,
ga_b1000_s1001,ga,1000,1001,20,0.5,arithmetic,,
de_b1000_s1001,de,1000,1001,20,,,0.7,0.9
