case,method,variant,budget,seed,population,mutation_sigma,crossover,differential_weight,crossover_rate,best_value,x1,x2,x3,x4,elapsed_sec
random_seed1,random,random,200,1,10,0.7,arithmetic,0.7,0.9,0.019069100893295474,-3.488541426553329,-3.4487109522357606,-8.62307720604334,9.588231635035914,8.018543500453234
random_seed2,random,random,200,2,10,0.7,arithmetic,0.7,0.9,0.018424944361659708,0.49533582518191466,-9.07685281651447,-7.834913365344509,9.90515300502469,7.915917899925262
random_seed3,random,random,200,3,10,0.7,arithmetic,0.7,0.9,0.01970097632837957,1.7111462332781784,-9.766846133454308,-5.401506828143885,9.344975085371768,7.907058000098914
random_seed4,random,random,200,4,10,0.7,arithmetic,0.7,0.9,0.018523112708041245,-3.6696323630297307,-7.564574737753212,-8.774866330814762,9.850911444922982,7.938856799621135
random_seed5,random,random,200,5,10,0.7,arithmetic,0.7,0.9,0.01868633587058278,-1.9242116955130601,-7.069872749960371,-2.4599850442923614,9.767754008136965,8.01604889985174
random_seed6,random,random,200,6,10,0.7,arithmetic,0.7,0.9,0.0182666814290472,-2.4519040394762426,-2.216688351459921,-7.463305491398344,9.99757192861405,8.022892800159752
random_seed7,random,random,200,7,10,0.7,arithmetic,0.7,0.9,0.018870622565771558,2.478541477837279,0.24524568926911172,-8.714184148184962,9.701664882681985,7.9074792000465095
random_seed8,random,random,200,8,10,0.7,arithmetic,0.7,0.9,0.018558495746299343,-2.418491583168219,-7.725381454384001,-4.832865879361745,9.832047941421358,7.959201800171286
random_seed9,random,random,200,9,10,0.7,arithmetic,0.7,0.9,0.018795595634821173,1.682796532745419,-0.9739999160124952,-1.9565939607065665,9.721433214381818,7.938011199701577
random_seed10,random,random,200,10,10,0.7,arithmetic,0.7,0.9,0.018430396223318476,-3.345476633785591,-8.603838103271727,-4.791883423140835,9.90184513927084,7.9718541000038385
ga_arith_seed1,ga,ga_arithmetic,200,1,20,0.7,arithmetic,0.7,0.9,0.01827257632443773,-1.2218817289361699,-7.011792724909038,-1.8557586675869935,10.0,8.02856109989807
ga_arith_seed2,ga,ga_arithmetic,200,2,20,0.7,arithmetic,0.7,0.9,0.018263428672836934,-1.9200840034892563,-3.05030045652359,-2.994573544728354,9.999996828174353,7.966703400015831
ga_arith_seed3,ga,ga_arithmetic,200,3,20,0.7,arithmetic,0.7,0.9,0.018262789445197443,-0.17972412508775104,-2.289571939968625,-5.6596419600799015,10.0,8.106570599600673
ga_arith_seed4,ga,ga_arithmetic,200,4,20,0.7,arithmetic,0.7,0.9,0.018262702527032573,-6.258435618200866,-8.278885919428586,-6.580574325104242,10.0,8.47688140021637
ga_arith_seed5,ga,ga_arithmetic,200,5,20,0.7,arithmetic,0.7,0.9,0.01826270784228219,-1.737361613122014,-5.7763462474427705,-5.355546396122858,10.0,8.387629800010473
ga_arith_seed6,ga,ga_arithmetic,200,6,20,0.7,arithmetic,0.7,0.9,0.018262702356831896,-4.366963908631141,-3.687495386688602,-7.947847761320402,10.0,8.215753099881113
ga_arith_seed7,ga,ga_arithmetic,200,7,20,0.7,arithmetic,0.7,0.9,0.018267912478404758,-4.944267915579025,-0.6404646826089911,-2.1342285533551224,10.0,8.18970699980855
ga_arith_seed8,ga,ga_arithmetic,200,8,20,0.7,arithmetic,0.7,0.9,0.01826270357444477,-2.174475990999006,-8.517803479232851,-6.284685191651756,10.0,8.130517599638551
ga_arith_seed9,ga,ga_arithmetic,200,9,20,0.7,arithmetic,0.7,0.9,0.018262846104093105,-6.2899673789721415,-7.6251201493138545,-3.694107949244569,10.0,8.06354229990393
ga_blx_arith_seed10,ga,ga_arithmetic,200,10,20,0.7,arithmetic,0.7,0.9,0.018262753710703263,-0.5568225278239568,-5.044989149877788,-4.661442624220767,10.0,8.226243000011891
ga_blx_seed1,ga,ga_blx,200,1,20,0.7,blx,0.7,0.9,0.018262896407492894,-3.91431208563661,-8.069278734166888,-3.563830879040192,10.0,8.099670900031924
ga_blx_seed2,ga,ga_blx,200,2,20,0.7,blx,0.7,0.9,0.018262703774553978,-3.2761037849582837,-1.5762731188566992,-5.863013708678291,10.0,8.429831099696457
ga_blx_seed3,ga,ga_blx,200,3,20,0.7,blx,0.7,0.9,0.01826278555478224,-4.135230456908676,-6.720582146057587,-3.9316191584949327,10.0,8.374078599736094
ga_blx_seed4,ga,ga_blx,200,4,20,0.7,blx,0.7,0.9,0.018262702346360876,-6.985210762326599,-4.776397513554109,-8.0831460605256,10.0,8.139891100116074
ga_blx_seed5,ga,ga_blx,200,5,20,0.7,blx,0.7,0.9,0.018262702434370753,-4.351315504331835,-5.73282053101637,-6.905578888767494,10.0,7.931641799863428
ga_blx_seed6,ga,ga_blx,200,6,20,0.7,blx,0.7,0.9,0.018262702340877433,-5.675697236812893,-4.717824295923783,-9.915968271360041,10.0,7.945447999984026
ga_blx_seed7,ga,ga_blx,200,7,20,0.7,blx,0.7,0.9,0.018262705716586614,-3.7632005262936206,-4.890668491649295,-5.32623971223228,10.0,7.965730200055987
ga_blx_seed8,ga,ga_blx,200,8,20,0.7,blx,0.7,0.9,0.018262702371168102,-4.075082991943617,-8.112583162154104,-7.549443562531056,10.0,8.110870399978012
ga_blx_seed9,ga,ga_blx,200,9,20,0.7,blx,0.7,0.9,0.018262702689278085,-2.6302575853852717,-7.245467045402713,-7.187756733042301,10.0,8.11226740013808
ga_blx_seed10,ga,ga_blx,200,10,20,0.7,blx,0.7,0.9,0.018262702448180092,-3.925785777126866,-2.2336715566309717,-8.041149441625306,10.0,7.948953100014478
de_seed1,de,de_F0.70_CR0.90,200,1,20,0.7,arithmetic,0.7,0.9,0.01826270234030768,-10.0,-10.0,-10.0,10.0,7.989638699684292
de_seed2,de,de_F0.70_CR0.90,200,2,20,0.7,arithmetic,0.7,0.9,0.01826270370099832,-2.719140376233605,-6.307247021197883,-5.804932528659655,10.0,7.962799100205302
de_seed3,de,de_F0.70_CR0.90,200,3,20,0.7,arithmetic,0.7,0.9,0.018262702340300332,-10.0,-9.630325932303062,-10.0,10.0,7.989550499711186
de_seed4,de,de_F0.70_CR0.90,200,4,20,0.7,arithmetic,0.7,0.9,0.018262702340305696,-10.0,-8.863479636978099,-10.0,10.0,8.067358300089836
de_seed5,de,de_F0.70_CR0.90,200,5,20,0.7,arithmetic,0.7,0.9,0.018262702340294295,-9.748604961824144,-9.123652981782259,-10.0,10.0,8.192401499953121
de_seed6,de,de_F0.70_CR0.90,200,6,20,0.7,arithmetic,0.7,0.9,0.018262702340300765,-10.0,-9.171621968422349,-10.0,10.0,8.296826099976897
de_seed7,de,de_F0.70_CR0.90,200,7,20,0.7,arithmetic,0.7,0.9,0.018262702345690166,-10.0,-3.4377971271414465,-9.960817483176605,10.0,8.073871599975973
de_seed8,de,de_F0.70_CR0.90,200,8,20,0.7,arithmetic,0.7,0.9,0.018262702340318186,-6.8005221390586446,-10.0,-10.0,10.0,7.966347800102085
de_seed9,de,de_F0.70_CR0.90,200,9,20,0.7,arithmetic,0.7,0.9,0.018262702340299003,-9.374145906805108,-10.0,-10.0,10.0,7.9563392996788025
de_seed10,de,de_F0.70_CR0.90,200,10,20,0.7,arithmetic,0.7,0.9,0.018262702340309425,-7.710187551747715,-8.650386906343124,-10.0,10.0,8.114614399615675
